time,irvalue,redvalue
2025-03-09 15:02:54,199,279
2025-03-09 15:02:54,192,274
2025-03-09 15:02:54,177,287
2025-03-09 15:02:54,187,288
2025-03-09 15:02:54,187,289
2025-03-09 15:02:54,185,293
2025-03-09 15:02:54,190,301
2025-03-09 15:02:54,207,307
2025-03-09 15:02:54,217,326
2025-03-09 15:02:54,236,320
2025-03-09 15:02:54,241,324
2025-03-09 15:02:54,248,333
2025-03-09 15:02:54,244,335
2025-03-09 15:02:54,255,357
2025-03-09 15:02:54,283,374
2025-03-09 15:02:54,314,394
2025-03-09 15:02:54,347,407
2025-03-09 15:02:54,378,421
2025-03-09 15:02:54,416,433
2025-03-09 15:02:54,498,448
2025-03-09 15:02:54,612,463
2025-03-09 15:02:54,741,490
2025-03-09 15:02:54,856,534
2025-03-09 15:02:54,915,548
2025-03-09 15:02:54,853,522
2025-03-09 15:02:54,734,460
2025-03-09 15:02:54,596,469
2025-03-09 15:02:54,882,862
2025-03-09 15:02:54,1010,811
2025-03-09 15:02:54,1285,945
2025-03-09 15:02:54,1336,1046
2025-03-09 15:02:54,1390,1044
2025-03-09 15:02:54,1388,1052
2025-03-09 15:02:54,1406,1076
2025-03-09 15:02:54,1423,1057
2025-03-09 15:02:54,1365,1015
2025-03-09 15:02:54,1386,1041
2025-03-09 15:02:54,1376,1014
2025-03-09 15:02:54,1359,1025
2025-03-09 15:02:54,1372,1022
2025-03-09 15:02:58,1320,998
2025-03-09 15:02:58,1305,1003
2025-03-09 15:02:58,1363,1046
2025-03-09 15:02:58,1398,1049
2025-03-09 15:02:58,1405,1034
2025-03-09 15:02:58,1388,1028
2025-03-09 15:02:58,1371,1014
2025-03-09 15:02:58,1360,1028
2025-03-09 15:02:58,1380,1040
2025-03-09 15:02:58,1369,1033
2025-03-09 15:02:58,1378,1038
2025-03-09 15:02:58,1376,1050
2025-03-09 15:02:58,1392,1047
2025-03-09 15:02:58,1394,1053
2025-03-09 15:02:58,1404,1047
2025-03-09 15:02:58,1392,1041
2025-03-09 15:02:58,1386,1029
2025-03-09 15:02:58,1369,1023
2025-03-09 15:02:58,1373,1023
2025-03-09 15:02:58,1369,1028
2025-03-09 15:02:58,1363,1027
2025-03-09 15:02:58,1376,1033
2025-03-09 15:02:58,1380,1037
2025-03-09 15:02:58,1378,1049
2025-03-09 15:02:58,1387,1048
2025-03-09 15:02:58,1393,1051
2025-03-09 15:02:58,1399,1043
2025-03-09 15:02:58,1404,1040
2025-03-09 15:02:58,1396,1029
2025-03-09 15:02:58,1382,1028
2025-03-09 15:02:58,1371,1018
2025-03-09 15:02:58,1363,1027
2025-03-09 15:02:58,1366,1030
2025-03-09 15:02:58,1372,1031
2025-03-09 15:02:58,1377,1035
2025-03-09 15:02:58,1380,1045
2025-03-09 15:02:58,1394,1049
2025-03-09 15:02:58,1390,1057
2025-03-09 15:02:58,1401,1052
2025-03-09 15:02:58,1403,1037
2025-03-09 15:03:02,1392,1043
2025-03-09 15:03:02,1384,1040
2025-03-09 15:03:02,1388,1048
2025-03-09 15:03:02,1395,1053
2025-03-09 15:03:02,1401,1063
2025-03-09 15:03:02,1401,1055
2025-03-09 15:03:02,1404,1045
2025-03-09 15:03:02,1401,1033
2025-03-09 15:03:02,1377,1031
2025-03-09 15:03:02,1386,1027
2025-03-09 15:03:02,1367,1028
2025-03-09 15:03:02,1365,1033
2025-03-09 15:03:02,1374,1039
2025-03-09 15:03:02,1379,1037
2025-03-09 15:03:02,1387,1049
2025-03-09 15:03:02,1385,1044
2025-03-09 15:03:02,1398,1051
2025-03-09 15:03:02,1389,1048
2025-03-09 15:03:02,1403,1041
2025-03-09 15:03:02,1399,1030
2025-03-09 15:03:02,1387,1030
2025-03-09 15:03:02,1375,1027
2025-03-09 15:03:02,1371,1030
2025-03-09 15:03:02,1368,1027
2025-03-09 15:03:02,1368,1037
2025-03-09 15:03:02,1387,1033
2025-03-09 15:03:02,1378,1041
2025-03-09 15:03:02,1385,1048
2025-03-09 15:03:02,1390,1054
2025-03-09 15:03:02,1390,1053
2025-03-09 15:03:02,1402,1046
2025-03-09 15:03:02,1399,1034
2025-03-09 15:03:02,1391,1027
2025-03-09 15:03:02,1377,1022
2025-03-09 15:03:02,1369,1016
2025-03-09 15:03:02,1359,1031
2025-03-09 15:03:02,1368,1027
2025-03-09 15:03:02,1370,1030
2025-03-09 15:03:02,1374,1037
2025-03-09 15:03:02,1385,1042
2025-03-09 15:03:04,1379,1034
2025-03-09 15:03:04,1376,1044
2025-03-09 15:03:04,1387,1044
2025-03-09 15:03:04,1399,1039
2025-03-09 15:03:04,1392,1033
2025-03-09 15:03:04,1384,1019
2025-03-09 15:03:04,1371,1017
2025-03-09 15:03:04,1365,1018
2025-03-09 15:03:04,1363,1024
2025-03-09 15:03:04,1361,1032
2025-03-09 15:03:04,1373,1038
2025-03-09 15:03:04,1374,1040
2025-03-09 15:03:04,1374,1048
2025-03-09 15:03:04,1385,1048
2025-03-09 15:03:04,1388,1048
2025-03-09 15:03:04,1394,1038
2025-03-09 15:03:04,1396,1039
2025-03-09 15:03:04,1391,1020
2025-03-09 15:03:04,1373,1018
2025-03-09 15:03:04,1371,1022
2025-03-09 15:03:04,1362,1022
2025-03-09 15:03:04,1371,1021
2025-03-09 15:03:04,1367,1020
2025-03-09 15:03:04,1366,1032
2025-03-09 15:03:04,1370,1048
2025-03-09 15:03:04,1375,1039
2025-03-09 15:03:04,1388,1053
2025-03-09 15:03:04,1392,1051
2025-03-09 15:03:04,1390,1039
2025-03-09 15:03:04,1385,1026
2025-03-09 15:03:04,1380,1024
2025-03-09 15:03:04,1367,1019
2025-03-09 15:03:04,1366,1021
2025-03-09 15:03:04,1365,1033
2025-03-09 15:03:04,1361,1025
2025-03-09 15:03:04,1370,1031
2025-03-09 15:03:04,1371,1033
2025-03-09 15:03:04,1372,1041
2025-03-09 15:03:04,1385,1045
2025-03-09 15:03:04,1382,1046
2025-03-09 15:03:06,1378,1033
2025-03-09 15:03:06,1354,1021
2025-03-09 15:03:06,1360,1027
2025-03-09 15:03:06,1362,1032
2025-03-09 15:03:06,1369,1038
2025-03-09 15:03:06,1378,1042
2025-03-09 15:03:06,1380,1042
2025-03-09 15:03:06,1379,1043
2025-03-09 15:03:06,1387,1034
2025-03-09 15:03:06,1386,1039
2025-03-09 15:03:06,1382,1020
2025-03-09 15:03:06,1370,1016
2025-03-09 15:03:06,1365,1011
2025-03-09 15:03:06,1358,1016
2025-03-09 15:03:06,1353,1019
2025-03-09 15:03:06,1364,1029
2025-03-09 15:03:06,1368,1025
2025-03-09 15:03:06,1370,1039
2025-03-09 15:03:06,1366,1036
