time,irvalue,redvalue
2025-03-03 00:59:14,26085,28333
2025-03-03 00:59:14,26167,28368
2025-03-03 00:59:14,26276,28396
2025-03-03 00:59:14,26248,28403
2025-03-03 00:59:14,26196,28298
2025-03-03 00:59:14,26263,28380
2025-03-03 00:59:14,26441,28438
2025-03-03 00:59:14,26358,28378
2025-03-03 00:59:14,26259,28368
2025-03-03 00:59:14,26238,28324
2025-03-03 00:59:14,26191,28331
2025-03-03 00:59:14,26197,28318
2025-03-03 00:59:15,26176,28293
2025-03-03 00:59:15,26139,28250
2025-03-03 00:59:15,26102,28220
2025-03-03 00:59:15,26117,28239
2025-03-03 00:59:15,26064,28155
2025-03-03 00:59:15,25896,28126
2025-03-03 00:59:15,25736,28023
2025-03-03 00:59:15,25607,27970
2025-03-03 00:59:15,25674,28013
2025-03-03 00:59:15,25681,27977
2025-03-03 00:59:15,25858,28139
2025-03-03 00:59:15,26219,28324
2025-03-03 00:59:15,26543,28518
2025-03-03 00:59:16,26577,28496
2025-03-03 00:59:16,26199,28285
2025-03-03 00:59:16,26296,28385
2025-03-03 00:59:16,26217,28283
2025-03-03 00:59:16,25996,28166
2025-03-03 00:59:16,26087,28193
2025-03-03 00:59:16,25980,28125
2025-03-03 00:59:16,25998,28124
2025-03-03 00:59:16,25988,28130
2025-03-03 00:59:16,25784,27967
2025-03-03 00:59:16,25789,28101
2025-03-03 00:59:16,25689,27922
2025-03-03 00:59:16,25523,27902
2025-03-03 00:59:17,25530,27886
2025-03-03 00:59:17,25652,27937
2025-03-03 00:59:17,25840,28060
2025-03-03 00:59:17,25993,28173
2025-03-03 00:59:17,26102,28220
2025-03-03 00:59:17,25980,28111
2025-03-03 00:59:17,25944,28239
2025-03-03 00:59:17,26448,28364
2025-03-03 00:59:17,25939,28097
2025-03-03 00:59:17,25880,28063
2025-03-03 00:59:17,25705,27962
2025-03-03 00:59:17,25499,27856
2025-03-03 00:59:18,25422,27850
2025-03-03 00:59:18,25485,27867
2025-03-03 00:59:18,25361,27869
2025-03-03 00:59:18,25717,28033
2025-03-03 00:59:18,25664,28017
2025-03-03 00:59:18,25774,28059
2025-03-03 00:59:18,25621,27911
2025-03-03 00:59:18,25493,27896
2025-03-03 00:59:18,25417,27864
2025-03-03 00:59:18,25369,27847
